_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548462715840016385,2022-07-17 00:20:55+00:00,2) la CAQ démontre une fois de plus qu’elle n’hésite pas à mentir pour bien faire paraître François Legault. Sa pub est tout sauf un honnête «vox pop».,2) la CAQ démontre une fois de plus qu’elle n’hésite pas à mentir pour bien faire paraître François Legault. Sa pub est tout sauf un honnête «vox pop».,1548462715840016385,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",24,61,547,4,1548462523547996161,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5484625235479962e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548462523547996161,2022-07-17 00:20:09+00:00,"Toute la controverse au sujet de cette vieille dame qui fait les pubs de la CAQ nous rappelle essentiellement deux choses:

1) la CAQ se sert des aînés pour tenter de redorer son blason. Elle le fait même à rabais, en profitant d’une pauvre dame.

https://t.co/ceugi8WPyJ","Toute la controverse au sujet de cette vieille dame qui fait les pubs de la CAQ nous rappelle essentiellement deux choses:

1) la CAQ se sert des aînés pour tenter de redorer son blason. Elle le fait même à rabais, en profitant d’une pauvre dame.

ledevoir.com/opinion/libre-…",1548462523547996161,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",97,114,651,7,1548462523547996161,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,['https://www.ledevoir.com/opinion/libre-opinion/734511/libre-opinion-quand-la-publicite-se-deguise-en-vox-pop'],['https://t.co/ceugi8WPyJ'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548290129034301445,2022-07-16 12:55:07+00:00,"Très content de retrouver hier Albert De Martin, ex-député de l’ADQ dans Huntingdon, venu nous donner son appui.

Un gars qui a toujours eu à cœur l’avenir de l’agriculture au Québec.

Merci Albert! Content de te savoir dans l’équipe! https://t.co/HnowUl7otM","Très content de retrouver hier Albert De Martin, ex-député de l’ADQ dans Huntingdon, venu nous donner son appui.

Un gars qui a toujours eu à cœur l’avenir de l’agriculture au Québec.

Merci Albert! Content de te savoir dans l’équipe! https://t.co/HnowUl7otM",1548290129034301445,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",37,35,296,4,1548290129034301445,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FXyhpgRVEAADzII?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FXyhpgRVEAADzII?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548082107951378432,2022-07-15 23:08:31+00:00,"Ben nous, on va voter pour les enfants et pour l’avenir du Québec le 3 octobre prochain. On va voter conservateur.

Partagez cette vidéo. Tous les parents et les grands-parents doivent voir et entendre ça.","Ben nous, on va voter pour les enfants et pour l’avenir du Québec le 3 octobre prochain. On va voter conservateur.

Partagez cette vidéo. Tous les parents et les grands-parents doivent voir et entendre ça.",1548082107951378432,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",20,28,298,1,1548081577317437448,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5480819902257357e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548081990225735684,2022-07-15 23:08:03+00:00,"Les jeunes, il ne les voient pas dans ses sondages parce qu’ils sont trop jeunes pour voter ou que leur taux de participation aux élections est trop faible.","Les jeunes, il ne les voient pas dans ses sondages parce qu’ils sont trop jeunes pour voter ou que leur taux de participation aux élections est trop faible.",1548081990225735684,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",5,21,252,0,1548081577317437448,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5480819003333222e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548081900333322242,2022-07-15 23:07:41+00:00,"François Legault a volé ce moment unique qui ne reviendra jamais pour des dizaines de milliers de jeunes québécois.

Le premier ministre s’intéresse à la madame dans ses pubs qui le trouve bon.","François Legault a volé ce moment unique qui ne reviendra jamais pour des dizaines de milliers de jeunes québécois.

Le premier ministre s’intéresse à la madame dans ses pubs qui le trouve bon.",1548081900333322242,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",14,8,91,0,1548081577317437448,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5480817725328794e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548081772532879360,2022-07-15 23:07:11+00:00,"Qu’une amie quitte la région pour aller étudier dans un CEGEP à 300 km, qu’un autre s’en allait travailler à temps plein dans l’entreprise de son père. 

Un moment charnière qui nous a marqué à jamais.","Qu’une amie quitte la région pour aller étudier dans un CEGEP à 300 km, qu’un autre s’en allait travailler à temps plein dans l’entreprise de son père. 

Un moment charnière qui nous a marqué à jamais.",1548081772532879360,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",6,5,69,0,1548081577317437448,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5480815773174374e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548081577317437448,2022-07-15 23:06:24+00:00,"Aujourd’hui, j’ai eu les yeux dans l’eau à penser aux adolescents à qui on a empêché d’avoir une graduation et une dernière journée au secondaire. 

On se souviens tous des nos amis d’enfance, des deniers jours avant que nos chemins se croisent. 

https://t.co/Q40D2Vb5px","Aujourd’hui, j’ai eu les yeux dans l’eau à penser aux adolescents à qui on a empêché d’avoir une graduation et une dernière journée au secondaire. 

On se souviens tous des nos amis d’enfance, des deniers jours avant que nos chemins se croisent. 

fb.watch/ehG_mD7VAj/",1548081577317437448,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",187,76,530,13,1548081577317437448,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,['https://fb.watch/ehG_mD7VAj/'],['https://t.co/Q40D2Vb5px'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1548077028531810306,2022-07-15 22:48:20+00:00,"Aux Régates de Valleyfield avec nos candidats conservateurs Eloïse Coulombe (Soulanges), Chantal Dauphinais (Beauharnois), Anne Casabonne (Iberville) et François Gibeault (Sanguinet). https://t.co/RU6DbKPy9K","Aux Régates de Valleyfield avec nos candidats conservateurs Eloïse Coulombe (Soulanges), Chantal Dauphinais (Beauharnois), Anne Casabonne (Iberville) et François Gibeault (Sanguinet). https://t.co/RU6DbKPy9K",1548077028531810306,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",23,28,190,2,1548077028531810306,fr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FXvf0VVUEAMyD4B?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FXvf0VVUEAMyD4B?format=jpg&name=large'}, {'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FXvf0VMVEAEhMQf?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FXvf0VMVEAEhMQf?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1547989568388861955,2022-07-15 17:00:48+00:00,Conférence de presse : 4 candidats en Montérégie https://t.co/JgAHPjWL12,Conférence de presse : 4 candidats en Montérégie twitter.com/i/broadcasts/1…,1547989568388861955,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",36,33,163,6,1547989568388861955,fr,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",https://periscope.tv,Periscope,['https://twitter.com/i/broadcasts/1ZkJzbXPoNWJv'],['https://t.co/JgAHPjWL12'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1547972567805218820,2022-07-15 15:53:14+00:00,«Duhaime says no government should curtail rights so easily. He wants a great big dose of private for-profit health care.»,«Duhaime says no government should curtail rights so easily. He wants a great big dose of private for-profit health care.»,1547972567805218820,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",2,9,103,0,1547972030657507331,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5479724336587817e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1547972433658781701,2022-07-15 15:52:42+00:00,"« Not because it’s mean to anglophones, although Duhaime is making at least a modest attempt to appeal to conservative anglophone voters, but because the law makes blanket use of the Constitution’s “notwithstanding” clause to sidestep Charter rights. »","« Not because it’s mean to anglophones, although Duhaime is making at least a modest attempt to appeal to conservative anglophone voters, but because the law makes blanket use of the Constitution’s “notwithstanding” clause to sidestep Charter rights. »",1547972433658781701,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",6,8,85,0,1547972030657507331,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5479722953810698e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/E_Duhaime/status/1547972295381069824,2022-07-15 15:52:09+00:00,"He’s against vaccine restrictions — but he’s been careful not to associate with truck convoy protesters. He’s against Legault’s new French language law, Bill 96. »","He’s against vaccine restrictions — but he’s been careful not to associate with truck convoy protesters. He’s against Legault’s new French language law, Bill 96. »",1547972295381069824,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",5,4,66,0,1547972030657507331,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,,1.5479720306575073e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'E_Duhaime', 'id': 172395137, 'displayname': 'Eric Duhaime', 'description': 'Chef du Parti conservateur du Québec', 'rawDescription': 'Chef du Parti conservateur du Québec', 'descriptionUrls': None, 'verified': True, 'created': '2010-07-29T16:20:06+00:00', 'followersCount': 87805, 'friendsCount': 1709, 'statusesCount': 9456, 'favouritesCount': 1034, 'listedCount': 518, 'mediaCount': 569, 'location': 'Montreal, Quebec', 'protected': False, 'linkUrl': 'https://ericduhaime.quebec', 'linkTcourl': 'https://t.co/3sv6ThQCRd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341407863722393601/OYh1XF5j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/172395137/1606400140', 'label': None, 'url': 'https://twitter.com/E_Duhaime'}",,,,,
